<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
55    1798    22050.0    0.38    0.79    5.5    1.11    99    0.00    0    4    7   0.01   9999   9999   0   0.000000;
55    2061    22050.0    0.34    0.70    5.5    1.11    99    0.00    0    4    7   0.03   9999   9999   0   0.000000;
56    2267    22050.0    0.33    0.68    5.5    1.11    99    0.00    0    4    7   0.00   344   9999   0   0.000000;
56    2268    22050.0    0.09    0.19    5.5    1.11    99    0.00    0    4    7   -0.02   9999   9999   0   0.000000;
56    2368    22050.0    0.30    0.62    5.5    1.11    99    0.00    0    4    7   -0.02   9999   9999   0   0.000000;
56    2369    22050.0    0.34    0.70    5.5    1.11    99    0.00    0    4    7   -0.02   9999   9999   0   0.000000;
57    2271    22050.0    0.13    0.27    5.5    1.11    99    0.00    0    4    7   -0.04   9999   9999   0   0.000000;
57    2272    22050.0    0.52    1.08    5.5    1.11    99    0.00    0    4    7   0.02   9999   9999   0   0.000000;
58    1765    22050.0    0.39    0.67    3    1.25    99    0.00    0    5    7   0.01   9999   9999   0   0.000000;
58    1767    22050.0    0.12    0.21    3    1.25    99    0.00    0    5    7   0.01   9999   9999   0   0.000000;
58    2219    22050.0    0.40    0.69    3    1.25    99    0.00    0    5    7   -0.01   9999   9999   0   0.000000;
59    1759    22050.0    0.17    0.29    3    1.25    99    0.00    0    5    7   -0.06   9999   9999   0   0.000000;
59    1764    22050.0    0.24    0.41    3    1.25    99    0.00    0    5    7   -0.06   9999   9999   0   0.000000;
59    2219    22050.0    0.50    0.86    3    1.25    99    0.00    0    5    7   -0.04   9999   9999   0   0.000000;
59    2810    22050.0    0.63    1.08    3    1.25    99    0.00    0    5    7   -0.01   9999   9999   0   0.000000;
60    1766    22050.0    0.37    0.63    3    1.25    99    0.00    0    5    7   -0.01   9999   9999   0   0.000000;
60    2221    22050.0    0.30    0.51    3    1.25    99    0.00    0    5    7   -0.00   9999   9999   0   0.000000;
61    1782    22050.0    0.33    0.68    5.5    1.11    99    0.00    0    4    7   -0.01   9999   9999   0   0.000000;
61    1783    5880.0    0.59    0.77    5.5    1.11    99    0.00    3    4    7   0.02   9999   9999   0   0.000000;
61    2230    5880.0    0.51    0.67    5.5    1.11    99    0.00    3    4    7   0.00   9999   9999   0   0.000000;
62    1763    22050.0    0.41    0.85    5.5    1.11    99    0.00    0    4    7   -0.01   9999   9999   0   0.000000;
62    2220    22050.0    0.31    0.64    5.5    1.11    99    0.00    0    4    7   -0.04   9999   9999   0   0.000000;
62    2222    22050.0    0.48    0.99    5.5    1.11    99    0.00    0    4    7   -0.00   9999   9999   0   0.000000;
62    2270    22050.0    0.58    1.20    5.5    1.11    99    0.00    0    4    7   0.01   9999   9999   0   0.000000;
63    2229    22050.0    0.20    0.71    15    1.04    99    0.00    0    2    7   -0.05   9999   9999   0   0.000000;
64    2223    22050.0    0.28    0.58    5.5    1.11    99    0.00    0    4    7   0.00   9999   9999   0   0.000000;
64    2224    22050.0    0.39    0.81    5.5    1.11    99    0.00    0    4    7   0.01   9999   9999   0   0.000000;
64    2225    22050.0    0.48    0.99    5.5    1.11    99    0.00    0    4    7   -0.00   9999   9999   0   0.000000;
64    2226    22050.0    0.48    0.99    5.5    1.11    99    0.00    0    4    7   -0.05   9999   9999   0   0.000000;
65    2230    22050.0    0.07    0.25    15    1.04    99    0.00    0    2    7   0.06   9999   9999   0   0.000000;
65    2417    22050.0    0.10    0.35    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
66    2233    22050.0    0.19    0.67    15    1.04    99    0.00    0    2    7   -0.02   9999   9999   0   0.000000;
66    2234    22050.0    0.12    0.42    15    1.04    99    0.00    0    2    7   -0.05   9999   9999   0   0.000000;
66    2417    22050.0    0.09    0.32    15    1.04    99    0.00    0    2    7   0.04   9999   9999   0   0.000000;
66    2418    22050.0    0.14    0.49    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
67    1786    22050.0    0.08    0.28    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
68    2002    22050.0    0.12    0.42    15    1.04    99    0.00    0    2    7   -0.07   9999   9999   0   0.000000;
68    2080    22050.0    0.08    0.28    15    1.04    99    0.00    0    2    7   -0.03   9999   9999   0   0.000000;
69    1787    22050.0    0.37    1.31    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
69    2002    22050.0    0.31    1.09    2000    1.00    99    0.00    0    1    7   -0.04   9999   9999   0   0.000000;
69    2237    22050.0    0.30    1.06    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
69    2354    22050.0    0.29    1.02    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
70    1787    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
71    1855    22050.0    0.16    0.56    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
71    1857    22050.0    0.15    0.53    2000    1.00    99    0.00    0    1    7   0.06   9999   9999   0   0.000000;
71    2070    22050.0    0.26    0.92    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
72    1855    22050.0    0.11    0.39    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
72    1980    22050.0    0.11    0.39    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
72    2239    22050.0    0.20    0.71    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
73    1890    22050.0    0.07    0.25    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
73    1980    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
73    2238    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
74    1889    22050.0    0.07    0.25    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
75    2040    22050.0    0.13    0.46    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
75    2282    22050.0    0.30    1.06    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
75    2403    22050.0    0.20    0.71    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
75    2405    22050.0    0.13    0.46    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
75    2413    22050.0    0.28    0.99    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
76    2232    22050.0    0.14    0.49    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
77    2281    22050.0    0.05    0.18    2000    1.00    99    0.00    0    1    7   0.08   9999   9999   0   0.000000;
77    2398    22050.0    0.18    0.64    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
78    2071    22050.0    0.24    0.85    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
78    2399    22050.0    0.14    0.49    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
78    2405    22050.0    0.19    0.67    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
79    2280    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
79    2408    22050.0    0.12    0.42    2000    1.00    99    0.00    0    1    7   -0.03   9999   9999   0   0.000000;
79    2412    22050.0    0.10    0.35    2000    1.00    99    0.00    0    1    7   -0.03   9999   9999   0   0.000000;
80    2071    4200.0    0.14    0.21    2000    1.00    99    0.00    2    1    7   -0.02   9999   9999   0   0.000000;
80    2280    4200.0    0.15    0.22    2000    1.00    99    0.00    2    1    7   0.00   9999   9999   0   0.000000;
81    2231    22050.0    0.16    0.56    15    1.04    99    0.00    0    2    7   -0.00   9999   9999   0   0.000000;
82    1835    22050.0    0.08    0.28    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
83    1835    22050.0    0.35    1.24    15    1.04    99    0.00    0    2    7   -0.04   9999   9999   0   0.000000;
84    1865    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
85    2273    22050.0    0.20    0.71    2000    1.00    99    0.00    0    1    7   0.05   9999   9999   0   578.760000;
